date,median_per_sqft_per_year
2015-04-02,43.64
2015-05-02,43.64
2015-06-01,26.0
2015-07-04,43.0
2015-08-17,45.0
2015-09-10,45.0
2015-10-01,42.0
2015-11-01,36.0
2015-12-01,22.0
2016-01-01,18.0
2016-02-01,17.5
2016-03-01,17.0
2016-04-01,15.0
2016-05-04,""
2016-06-01,17.0
2016-07-01,17.14
2016-08-01,17.5
2016-09-01,18.0
2016-10-01,18.5
2016-11-01,18.0
2016-12-01,17.0
2017-01-09,17.95
2017-02-03,16.19
2017-03-01,17.33
2017-04-01,""
2017-05-01,18.0
2017-06-02,18.13
2017-07-01,18.0
2017-08-01,17.5
2017-09-02,17.0
2017-10-01,17.0
2017-11-01,17.0
2017-12-01,17.5
2018-01-01,17.0
2018-02-01,17.5
2018-03-01,17.22
2018-04-01,17.28
2018-05-01,17.5
2018-06-01,17.65
2018-07-01,17.73
2018-08-01,17.28
2018-09-01,18.0
2018-10-01,18.0
2018-11-01,18.0
2018-12-01,18.06
2019-01-01,18.5
2019-02-01,18.5
2019-03-01,18.86
2019-04-01,18.46
2019-05-01,18.5
2019-06-01,18.82
2019-07-01,18.5
2019-08-01,18.46
